Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
COL6A3	84941.4281321205	-0.344535825497687	0.0760784214985822	-4.5305971583366	5.88171974980042e-06	6.20772823254038e-05
ZNF157	2.45674670706428	-0.42976616223822	0.336938668079196	-1.29577849549169	0.195051808866483	NA
RPL23P11	0	NA	NA	NA	NA	NA
SCARNA10	0.440654765502721	-0.0565715888431832	0.152657299961163	-0.232949190524474	0.815800860458445	NA
RNU6-857P	0	NA	NA	NA	NA	NA
TOPORS	533.177695636132	0.107096559407956	0.125726430026015	0.854963730994663	0.392571226762913	0.61487494235652
DOCK1	2942.35382939012	-0.0470787866383325	0.0958668832939946	-0.484055231349041	0.628346672208433	0.803424743975888
RNU4-32P	0.0894459764787753	0.0385914340728972	0.151854869880638	0.235616833975265	0.813730009565536	NA
RPS3AP28	0	NA	NA	NA	NA	NA
ACSM1	0	NA	NA	NA	NA	NA
RPS15AP5	0.122385040193509	-0.0234030569544855	0.151854869880638	-0.141360141850805	0.887585440218728	NA
HADHBP1	0.814294601980982	0.115382367305509	0.231671154741606	0.548114256235641	0.583613452248897	NA
LRRC74B	1.12188999177104	-0.238262733535425	0.272598183705307	-0.925704100648465	0.354599776243073	NA
RPL31P57	0	NA	NA	NA	NA	NA
LARP1B	240.656245281397	0.308782291223188	0.132431602315234	2.32992825224077	0.0198099435175459	0.0721234007260617
MIR3130-2	0	NA	NA	NA	NA	NA
PFN3	0	NA	NA	NA	NA	NA
CDKN1B	977.804400628331	-0.0320143480528219	0.0904575016945755	-0.352910327768485	0.72415566795013	0.86353592873679
RNU6ATAC2P	0	NA	NA	NA	NA	NA
CDT1	22.588129314331	-0.234611641830449	0.311283010492507	-0.737299474031107	0.460940252006578	0.67681429924175
RNU6-845P	0	NA	NA	NA	NA	NA
RNU6-1337P	0.106438708636928	-0.0234030569544855	0.151854869880638	-0.132695886400457	0.894433896272441	NA
PPP1R11.3	0	NA	NA	NA	NA	NA
CEP162	326.68699365803	-0.360286069761979	0.124745903736531	-2.88806525017535	0.00387619454202764	0.0190347091194204
CRNKL1	705.349095432707	0.180002584316194	0.102760165286979	1.7511213150393	0.0799250153746935	0.210503748883629
KPNA4	1829.04575189731	0.148816496774016	0.0998223564529214	1.48878912325634	0.1365429073722	0.312393691948333
SNORD82	0.10648451576717	-0.0234030569544855	0.151854869880638	-0.148729140285229	0.881767366343188	NA
DDAH2.3	0	NA	NA	NA	NA	NA
RNF4	1144.70771437009	0.027474527190926	0.0866166640250998	0.317210485923505	0.751083893869058	0.877486642904847
TDRD7	341.725293600521	0.446888875082801	0.134016661242723	3.33295602631093	0.000859285223930376	0.00527333342354432
IGHV3-66	0	NA	NA	NA	NA	NA
CNTN4-AS2	0	NA	NA	NA	NA	NA
NUDT3	361.02219655455	0.37600145060399	0.138949095921612	2.70370272389928	0.00685716056638132	0.0307780862467381
TNFAIP8L3	569.294149236814	0.411662094534157	0.105821521740289	3.90451654167781	9.44139346055136e-05	0.000750919008516347
ZFP90	760.920428967387	-0.325607856846503	0.10085415772886	-3.23183077318011	0.00122999875342274	0.00715380561764992
SLC27A5	64.6865452499796	-0.230380586384309	0.239670745004371	-1.00327585446802	0.315727782741865	0.540408968656089
POLL	373.463925755953	-0.0638287519429621	0.11636621032915	-0.547295504826939	0.584175731613948	0.772871210157925
RNU6-1309P	0	NA	NA	NA	NA	NA
RNU4-51P	0	NA	NA	NA	NA	NA
RN7SL789P	0	NA	NA	NA	NA	NA
SLC16A6	46.8739836620683	0.721603587477967	0.322845282678278	1.89211890816178	0.0584751395819428	0.167362870457832
SLC1A6	0	NA	NA	NA	NA	NA
TRAJ30	0	NA	NA	NA	NA	NA
RNU2-55P	0	NA	NA	NA	NA	NA
THSD4	3125.3165083542	-0.725973973257636	0.125400734966368	-5.79093471061562	6.99957843247147e-09	1.21396256046777e-07
MAPK6-DT	0.722690093391175	-0.101344155674018	0.225561738862251	-0.333010639649598	0.739126251826743	NA
