Gene	Pathway
GBP4	Cancer
BCAT1	Cancer
CMPK2	Cancer
STOX2	Cancer
PADI2	Cancer
SCARNA5	Cancer
ALOX12P2	Cancer
SNORA74B	Cancer
HIST1H2BL	Cancer
MNDA	Cancer
OLFM4	Cancer
FLT3	Cancer
CHD7	Cancer
NFIL3	Cancer
HSPA1B	Cancer
AP5B1	Cancer
IPCEF1	Cancer
LRG1	Cancer
THBS4	Cancer
RGL4	Cancer
MPP7	Cancer
UGCG	Metabolism
CYSTM1	Metabolism
ANXA2	Metabolism
ENDOD1	Metabolism
ARHGAP24	Metabolism
CST7	Metabolism
HIST1H2BM	Metabolism
EREG	Metabolism
EMP1	Metabolism
NFAM1	Metabolism
SLC40A1	Metabolism
CD52	Metabolism
HIST1H2BH	Metabolism
PFKFB3	Metabolism
SNORD116-20	Metabolism
STX11	Metabolism
SYNE2	Metabolism
TCN1	Metabolism
SNORA74A	Metabolism
CD74	Metabolism
EIF4E3	Metabolism
MYO7B	Metabolism
MX1	Metabolism
LDLR	Metabolism
S100P	Metabolism
PTPRCAP	Metabolism
KIT	Metabolism
OLR1	Metabolism
NKG7	Metabolism
