condition	response
A	-0.420427740393149
B	1.69217967173929
C	1.37225406868617
D	1.03507138321366
E	-0.144279563648813
A	-0.301453990727333
B	0.763916807416527
C	1.68231434373786
D	0.857113182566923
E	-0.930945887598039
A	0.61381517192673
B	0.599110272673588
C	1.4598036999863
D	0.921232821946559
E	-1.53588001993896
A	-0.0694930702749228
B	0.701343452643537
C	0.908016619954208
D	1.12040862796835
E	-1.12967770336713
A	0.450255972666626
B	1.47093469693387
C	2.73398095170985
D	1.35338054477896
E	-0.590495534868924
A	-0.146740924351226
B	1.70929453624297
C	2.74938691370324
D	0.671458952757168
E	-1.426397720001
A	0.157957519180734
B	1.55484708382943
C	3.10773028583902
D	1.60855181947867
E	-0.260389106680863
A	0.475786916208929
B	0.495233677018717
C	0.999763630681023
D	0.118907063773971
E	-1.07130406297753
A	0.775030184741565
B	0.598788409142614
C	1.96271054005866
D	1.94783397736123
E	-1.22828447046022
A	0.28111168132151
B	0.556495744244286
C	1.76987771190241
D	0.637835756966264
E	-1.03460557791706
