gene,log2FC,pvalue
TSPAN6,0.381227158,0.000153286
DPM1,-0.206840262,0.065035584
SCYL3,-0.037954175,0.790437473
C1orf112,0.088531364,0.756022709
CFH,-0.426424459,1.57E-06
FUCA2,0.241043044,0.00675807
GCLC,0.047590002,0.775189897
NFYA,0.500318723,3.33E-05
STPG1,0.123910159,0.488907975
NIPAL3,0.041034694,0.690269889
LAS1L,0.004021215,0.969916128
ENPP4,-0.225086415,0.295544527
SEMA3F,0.250209879,0.020800818
CFTR,1.086697372,0.166442913
ANKIB1,0.226647319,0.005130822
CYP51A1,-0.012641847,0.967497228
KRIT1,0.036662232,0.722708221
RAD52,0.31048139,0.050992912
BAD,-0.089026877,0.563772174
LAP3,-0.186692285,0.078382088
CD99,-0.089781364,0.267641889
WNT16,0.268218237,0.727900545
HECW1,-0.102488867,0.60410455
MAD1L1,0.160172025,0.225346514
LASP1,-0.396667865,2.18E-05
SNX11,-0.404421812,0.003764573
TMEM176A,-0.361112727,0.013580463
M6PR,0.072541251,0.432278587
KLHL13,0.94094499,5.50E-11
CYP26B1,0.89704863,0.002051791
DBNDD1,0.280248548,0.147173129
ALS2,-0.171929433,0.072854651
CASP10,0.407996424,0.070577654
CFLAR,-1.190467359,7.80E-23
TFPI,0.196579667,0.190740894
NDUFAF7,0.05105309,0.70621101
RBM5,0.188724122,0.048118795
MTMR7,-1.004869636,0.006522734
SLC7A2,-0.553330856,0.142011762
ARF5,-0.366615488,3.46E-05
SARM1,0.16630811,0.447853986
POLDIP2,-0.143590481,0.09959104
PLXND1,0.038970696,0.729971983
AK2,-0.030159619,0.801654394
CD38,1.031814942,0.523177309
FKBP4,0.073407724,0.518406539
KDM1A,0.299477788,0.000657613
RBM6,0.188117975,0.040441743
CAMKK1,0.565012679,0.034561137
RECQL,-0.368616461,0.00029656
VPS50,0.030241762,0.787939031
HSPB6,0.073804192,0.411029152
ARHGAP33,0.40904486,0.054770731
NDUFAB1,-0.104416019,0.413174073
PDK4,-2.644955981,2.58E-05
ZMYND10,0.414267058,0.450321448
ABCB5,1.697569573,0.002161831
SLC25A13,0.000629805,0.997086648
ST7,0.562071058,3.54E-05
ST7-OT3,0.562071058,3.54E-05
CDC27,-0.054209445,0.538959115
HCCS,0.146655372,0.270112815
DVL2,0.320025891,0.001056323
UPF1,-0.239272716,0.004044632
SKAP2,-0.21758142,0.047522582
SLC25A5,0.032743294,0.729726593
MCUB,-0.08710112,0.573079541
POLR2J,-0.057018452,0.599575745
DHX33,-0.360901539,0.006265706
THSD7A,-0.555687111,0.333261955
LIG3,0.392552077,0.021734012
RPAP3,0.223474443,0.101757763
ACSM3,-0.027976491,0.965146871
REXO5,0.366003169,0.166862294
CIAPIN1,-0.166405068,0.131692951
SPPL2B,-0.06480159,0.550493769
FAM214B,0.183113346,0.093994061
COPZ2,0.097600678,0.293012395
PRKAR2B,-0.607406606,0.000761949
MSL3,-0.146125038,0.242940184
CREBBP,0.101747612,0.319266206
TSPOAP1,-0.240502438,0.201812004
MPO,-0.188757075,0.856651481
GCFC2,-0.148299227,0.266237915
WDR54,-0.304278337,0.075855121
CROT,0.241897684,0.071534314
ABCB4,1.120397694,0.001577128
KMT2E,-0.085348211,0.343850873
RHBDD2,0.111635319,0.257921711
SOX8,1.291626587,0.18752224
IBTK,0.055340413,0.571704709
ZNF195,0.30372267,0.049082417
MYCBP2,0.021929853,0.812844365
FBXL3,-0.468899176,2.70E-05
PDK2,0.067330524,0.565128646
ITGA3,-0.348587404,0.006213861
ZFX,-0.082065291,0.395622986
LAMP2,-0.067014251,0.37613609
ITGA2B,0.264591689,0.699123797
GDE1,-0.168952923,0.04952888
REX1BD,0.041785468,0.761392583
CRLF1,-0.288712295,0.190485579
OSBPL7,0.949040577,1.02E-07
TMEM98,0.031804894,0.68957512
MAP3K14,0.69821416,0.000361467
TMEM132A,0.502469509,2.55E-05
AP2B1,-0.041702825,0.69137648
ZNF263,-0.101206145,0.409350351
CX3CL1,-1.31053973,0.048080012
SPATA20,0.109012546,0.218513141
CACNA1G,1.465895683,2.59E-07
TNFRSF12A,0.256744587,0.222871546
MAP3K9,0.116123657,0.888521301
RALA,0.557671317,2.12E-06
BAIAP2L1,0.208512418,0.20936323
KDM7A,0.007726268,0.966918695
ETV1,0.263891906,0.207711102
AGK,-0.004418148,0.971951306
ALDH3B1,-0.449277004,0.000133825
PHTF2,0.430152754,9.17E-06
CCL26,0.18332043,0.843548587
FARP2,-0.597986578,2.53E-07
GGCT,0.163158274,0.30655681
DBF4,0.358286243,0.083536635
TBXA2R,0.644329299,0.007382472
IFRD1,0.043548804,0.645865627
COX10,-0.22450354,0.17586698
GTF2IRD1,0.223621682,0.140574107
PAF1,0.202292734,0.046075564
VPS41,0.062912846,0.467060142
ARHGAP44,0.047897151,0.88059423
ELAC2,-0.164846521,0.122318569
SCIN,0.114211475,0.929327076
ARSD,0.004441405,0.972972369
PNPLA4,-0.016169618,0.929636998
MYH13,-3.202845845,0.000363514
ADIPOR2,-0.242245225,0.009364246
CDKL3,0.742289204,0.173317646
UPP2,1.774933863,0.256496768
PRSS21,0.155576546,0.925476276
MARK4,-0.090535976,0.379724138
CCDC124,-0.240746344,0.035242931
PAFAH1B1,-0.107009003,0.16323541
NOS2,-0.258184075,0.883833147
KIAA0100,0.006438976,0.941868153
GAS7,1.404723741,1.38E-13
TRAPPC6A,-0.259016848,0.22490269
CD79B,-0.845777313,0.599587161
ST7L,-0.125380061,0.500830833
PAX6,-0.304971718,0.361212362
RPUSD1,-0.108118981,0.430189052
RHBDF1,-0.063531852,0.519749689
LUC7L,0.173379783,0.089414711
CACNA2D2,-0.344257332,0.505914314
BAIAP3,-0.365783908,0.564466983
TSR3,-0.104279448,0.407984411
PIGQ,-0.16265133,0.207951347
CRAMP1,-0.09340767,0.527714768
TEAD3,-0.595648098,4.42E-12
DNAJC11,-0.032376933,0.75215464
FMO3,-0.245467401,0.030468913
MYLIP,0.497605134,5.77E-05
