"Sample","Cluster"
"sample1",1
"sample2",1
"sample3",1
"sample4",1
"sample5",1
"sample6",1
"sample7",1
"sample8",1
"sample9",1
"sample10",1
"sample11",1
"sample12",1
"sample13",1
"sample14",1
"sample15",1
"sample16",1
"sample17",1
"sample18",1
"sample19",1
"sample20",1
"sample21",1
"sample22",1
"sample23",1
"sample24",1
"sample25",1
"sample26",1
"sample27",1
"sample28",1
"sample29",1
"sample30",1
"sample31",1
"sample32",1
"sample33",1
"sample34",1
"sample35",1
"sample36",1
"sample37",1
"sample38",1
"sample39",1
"sample40",1
"sample41",1
"sample42",1
"sample43",1
"sample44",1
"sample45",1
"sample46",1
"sample47",1
"sample48",1
"sample49",1
"sample50",1
"sample51",2
"sample52",2
"sample53",2
"sample54",2
"sample55",2
"sample56",2
"sample57",2
"sample58",2
"sample59",2
"sample60",2
"sample61",2
"sample62",2
"sample63",2
"sample64",2
"sample65",2
"sample66",2
"sample67",2
"sample68",2
"sample69",2
"sample70",2
"sample71",2
"sample72",2
"sample73",2
"sample74",2
"sample75",2
"sample76",2
"sample77",2
"sample78",2
"sample79",2
"sample80",2
"sample81",2
"sample82",2
"sample83",2
"sample84",2
"sample85",2
"sample86",2
"sample87",2
"sample88",2
"sample89",2
"sample90",2
"sample91",2
"sample92",2
"sample93",2
"sample94",2
"sample95",2
"sample96",2
"sample97",2
"sample98",1
"sample99",2
"sample100",2
