"sample1" "sample2" "sample3" "sample4" "sample5" "sample6" "sample7" "sample8" "sample9" "sample10" "sample11" "sample12" "sample13" "sample14" "sample15" "sample16" "sample17" "sample18" "sample19" "sample20" "sample21" "sample22" "sample23" "sample24" "sample25" "sample26" "sample27" "sample28" "sample29" "sample30" "sample31" "sample32" "sample33" "sample34" "sample35" "sample36" "sample37" "sample38" "sample39" "sample40" "sample41" "sample42" "sample43" "sample44" "sample45" "sample46" "sample47" "sample48" "sample49" "sample50" "sample51" "sample52" "sample53" "sample54" "sample55" "sample56" "sample57" "sample58" "sample59" "sample60" "sample61" "sample62" "sample63" "sample64" "sample65" "sample66" "sample67" "sample68" "sample69" "sample70" "sample71" "sample72" "sample73" "sample74" "sample75" "sample76" "sample77" "sample78" "sample79" "sample80" "sample81" "sample82" "sample83" "sample84" "sample85" "sample86" "sample87" "sample88" "sample89" "sample90" "sample91" "sample92" "sample93" "sample94" "sample95" "sample96" "sample97" "sample98" "sample99" "sample100"
"feature1" 1.47830933223245 2.806905631255 1.04148747438156 0.652170833108502 1.23890501532449 1.90535035056332 2.52266914100843 1.30564924155744 1.07460337070654 1.0948041504456 2.15801944653433 1.97355804647236 1.6653906863415 3.53330770210657 2.63506709623972 2.17607952480614 4.58378748344781 2.36179815330612 2.4713109360778 1.69964783073314 2.18617878428037 2.89520710505995 1.84487076813802 1.67734967623036 1.01172600303539 2.50329775098874 1.28873776599385 1.94771565798291 5.35513462423791 1.01731351661787 1.13766483299406 1.90629233970834 1.96489094320919 0.486593784865668 0.414391081774936 1.73841126424421 4.93897251889002 2.55668926600408 2.41949051115074 1.6604857456047 2.35071277430375 2.18671326055609 -0.0395531476783675 3.4703398791994 3.15940326046403 1.54841407051792 4.28904435353133 1.33400304426689 1.5530426794589 2.36776181942188 2.66244650387403 2.09363540324587 2.45515852025619 1.71384963702738 2.45787321036501 1.33455136683171 2.98202785865242 1.78821736445618 2.54425539592536 3.51121538482349 2.50577614148055 1.74069009130798 2.94587602163665 3.15595083192957 1.73699910727436 1.34343409199566 2.15885158334609 2.43048973229127 3.89196083901722 2.46922646022067 4.31737642483836 3.06389381748022 2.82256935591441 2.88408594256593 3.94280763643335 3.97194888283084 1.63479166806996 3.16993532204725 2.63600833375026 3.46116282615762 2.97178618526288 3.51490966594339 2.74823776058968 3.75238627808301 3.21305809489193 3.21647191920497 1.00249921556342 2.75801679704457 4.35268037572656 2.48730380471179 3.11777542423652 2.13561249705961 2.56507580463641 3.88409364388451 2.25872648165908 2.73402721263998 2.24025504546926 1.82097441988908 1.62442638001981 2.12470807390253
"feature2" 2.16414428704903 2.89615921068625 1.42928956270716 2.66009493540387 1.6510310940161 1.52335785428399 1.8467692591746 3.92373832681179 2.37470061955642 3.54840698818537 3.0674062492845 3.52799730422984 2.75689836987015 2.20546267339567 3.37467106298354 2.18959061525868 2.46969037901416 1.51327767342342 2.30621786225018 0.499944779255793 2.37066824526356 3.00739498096163 2.46269662688157 2.51892200485278 1.44659039830106 1.61550108679226 2.41725843791858 1.60813703981717 3.35772670988314 2.16016087727153 3.96708839276146 1.25589936668489 2.44364442852023 2.48198491838799 1.77651867956294 2.77506681321763 2.72608141267529 1.83886502604079 1.26454284387352 3.35623683494495 3.72885238085475 1.0623119140676 1.59999272663766 2.40006220370479 2.52460137369165 1.80257142757522 2.79696254904337 1.07347320588475 1.6052724116687 2.5916927172441 3.07174521210212 3.17113078727789 2.52092763596961 1.8389555155532 2.08680547818858 1.85342051267142 1.12926228395339 4.20026414898296 3.01080679277908 4.15260085277898 1.76455888088213 2.815137198143 3.08304075438221 3.01505230225597 2.37980380927808 2.12351747034667 4.58584210818862 3.46639967960239 4.50189257993205 4.01124668362107 4.21429701240762 3.58157629938936 2.58485061224917 1.98955157770005 3.49254534054115 4.0030789264476 3.07010760351853 3.43826394194612 3.50028001538827 3.50014724657173 2.38472332932376 4.28087492242965 2.89595088791008 3.25889446294635 3.52441172283555 3.01235916533368 3.18270409693043 2.74576159079154 2.76879077937155 2.8670436174676 1.84802204087665 3.3257499109059 2.95088767241253 4.60586851634493 2.59966646085475 4.11326263478891 2.69102742191052 2.20431218179782 3.35645994960774 2.24248155815636
"feature3" 1.98285367230096 2.75655100531157 1.92000921677507 1.66634099086923 2.25259467208236 2.92327993857107 1.70887217284239 1.96028163932057 3.25795685186015 1.95429108348649 3.05920337376397 2.16896286375304 2.41962729456359 -0.95154721790381 2.65475918678439 3.65301817684063 1.46965204338781 0.96463861247745 1.76574310254505 2.88267878974454 0.752294359686806 0.106290783978112 1.95688051389854 2.41035880681621 2.36611421177705 1.76169740261599 1.64489020501605 1.03067782852718 2.99018700880159 1.29050811818866 2.59468256156061 1.81172587958999 2.11899019750593 1.94375461133203 3.48914845357426 0.123957248590546 2.56648129363869 1.63614644664654 1.94351288772761 3.68816275078168 0.537868333751505 1.32302289265327 0.92323327532026 2.12873079749236 2.41871964901597 1.49015724429833 1.1458467501103 1.99729684233833 1.2373288288338 1.71685214705514 3.09006870627233 3.62147492159785 3.35136695206403 3.02540106196778 2.21226260183811 3.79816273767894 2.35549695592742 4.5262866662817 2.36328666801461 3.25966528708565 3.05266275686354 3.52471266526502 3.44547471221695 2.16699261961079 3.61983366680886 3.37220179676505 3.77624979140344 2.01316813514615 1.03469511522121 3.95249223862495 2.38762697034086 4.77010660861579 2.07696734922635 3.59265754586684 2.79911586974998 3.60105679481732 4.92971421633696 2.87349335014709 2.42828501728092 3.14049335300149 1.36388528720786 3.94696052712242 2.5810573030303 3.37640167331372 3.22907313626896 3.05232324618866 2.0932113349406 3.99437842515034 4.69540448617292 4.32090345090841 1.77907190479833 4.03509089230005 4.71037946326144 1.27619829316811 3.69367617574666 3.65736554799691 3.15709428158069 2.70856453778256 4.74745135035345 2.77879333974887
"feature4" 1.27313508071578 2.67803670988708 3.19846756113592 2.18561345528744 0.707306664025409 1.22870741911225 1.74470517640686 1.04972530093494 3.91817525996136 1.99551697203792 2.49869620946746 1.74352183731519 1.37124175363789 2.11230344238257 2.51720189998746 2.09046835789872 0.74082012769075 -0.0126998441013324 1.37372612037953 0.881459512386543 0.834649393004783 3.22836741690259 1.67456037606371 2.94176290481187 0.610796908316743 1.49899910476601 1.18196778769346 3.84849840612964 1.06932364031117 0.430421424948581 2.88650480147109 0.992296967582547 2.29037531065442 1.95359292948602 2.72500121390989 1.76738716191705 3.12276144720723 2.17332261816072 2.22122738654459 0.258679563026471 1.96105337255379 1.90247017692179 2.61563210520342 2.45620077578836 1.35410748942135 2.29258126008236 1.60081179361754 1.95072674898304 1.43614080984675 2.34579948867347 2.217089869206 3.31507761664364 3.18491836917093 2.68109424196113 3.42645717680602 2.62558487935051 5.40187078956416 1.81222285693295 3.64168240885943 2.8337077653549 2.2804887925214 2.4721533862134 1.18992027834216 2.46407817495608 2.86387408987592 1.70246088077225 2.04377357936826 3.78159074717354 4.31374235951776 2.86784070806328 2.14603759873466 4.14678176008697 0.816227416822836 1.18450216622103 2.88683687069831 2.2489716996585 2.48389593222243 3.98337964493936 2.44758737532432 2.37875922464773 2.59547501505814 2.72334525589718 0.864294421205868 3.64746934816212 1.79065927477346 5.20436113288533 3.92165441705109 3.41402620316486 2.7779747171928 2.75260187503829 4.22834122070477 2.89427667647291 2.26218746743142 3.75767758598193 2.51326687942506 2.30995007746468 3.34498461053261 2.1592705979292 2.49282924804877 3.50739458060968
"feature5" 2.04870877227465 2.39175843830665 1.79830213785402 2.15370966423975 3.83311290331433 1.92114967716208 1.42891755119582 1.26618127727101 1.25518835254407 2.74535426481887 2.06875133756371 0.981397351838854 1.12828310771505 1.61546221346253 2.1079883019009 2.63146294680639 2.60355429581769 1.20450012858391 4.11378122187959 1.11885085533789 0.827308474640835 2.39831628086881 0.748378820746162 3.7930072396839 2.81733014624266 1.91088756071203 1.25653021700046 2.19748603239941 2.11957442264931 3.11171452468738 1.77872109346133 1.51866513478508 -0.0223280305342124 2.59131662560241 1.93540182620244 3.08687631414289 2.62754279314801 3.36775946042385 0.979089959386998 1.24192775939873 1.39310829116774 3.29739618142576 1.22911874170976 2.47698413105408 2.8372134361548 2.98605358825534 3.19565096439494 1.77958555150109 2.4685634970169 1.82211332164657 0.869788442072999 3.67683605845395 4.24427021223551 4.25088659926563 2.40436566667024 1.98410865699206 2.74097081257942 2.6644351346889 2.6951420027733 4.38912231269705 2.50399382981301 3.10370073547131 2.99585460555027 2.20148720958951 3.70066583756792 4.62493228448433 3.74973239059569 2.50925145885626 2.00531995539536 3.36121910235006 2.83329549363677 2.03207136236038 4.68622614469291 3.47809090664124 3.01134846029904 2.81476163150688 1.81562920960669 2.82421878594902 2.70720109523245 1.36372905965471 2.1556388337717 4.23485332436279 3.73783837306375 3.3313206107795 1.3026891074296 2.27472973822413 1.38156016652595 2.66915678118705 2.9135081232709 5.25394426451296 3.62167159355484 3.22678535130862 2.75254004577548 2.19893884823642 3.47678761415424 2.07091670727237 2.87069514966615 2.39806207947578 3.73608242261392 1.86988885274796
"feature6" 2.57593603374296 1.97589315827085 0.17134777988406 2.1219596427531 3.22803483454327 1.60854566308303 1.17667475540866 0.145259395095273 0.698326462711635 2.57492408080022 2.64998398973626 3.18861728732971 2.45804315663016 2.95899131748697 0.185283475625083 1.05015054057681 3.61026560795812 1.90264939482987 1.68895068167634 1.04747110318706 2.22494732351441 1.47708448148456 2.97962333918124 0.989552591366421 2.80412162192052 4.18082651898624 1.36440795906797 2.27949841331818 2.61596079495542 3.44118701980085 2.28086862732867 2.31898308221924 1.05477046957532 2.25339625359331 2.48478106501243 3.62605476560986 1.12759497720181 3.79914688018948 0.954760598525506 1.97990139020578 2.26271248443893 2.18626366014155 1.30316302869884 1.47982084291149 2.10132099835025 1.2089358422078 1.77442152303358 0.182657058573414 1.31762349921665 2.6672359604842 2.25835396317207 3.47797812813336 3.77823940344383 3.91767534846014 4.27643453925815 2.46221942207659 2.06179612490234 1.43916171948396 2.8472413919323 3.7695095989258 3.32540120187159 2.34846807108821 5.40018743770986 1.9202380787197 2.31005714697194 2.90516250681445 2.35301237277354 1.65795280294096 3.56874244242018 3.26569829514994 2.55385938631577 3.58308407041514 3.23003139050061 0.498509269032327 4.19395172729754 1.82390550863023 3.37893825986937 2.43985223515016 2.08531173624426 3.53867655847222 3.87659670220086 3.55192462725814 2.81296800885116 2.55751349876047 1.88412438252193 3.36237239262432 2.22570590607012 1.05746204074815 1.40962026236359 4.87333685548365 3.36331195955206 2.24378946046807 2.79722199975288 4.03569051686822 2.12551334045059 3.4217249074463 2.3986605876809 1.11986356505332 2.93392087817474 1.20250211746642
"feature7" 2.85646007311915 1.82365127602562 1.83525020272371 2.26711404938718 -0.586982519766414 0.598573123146001 -0.0847917390257917 1.49181238027452 1.80639564862199 3.13428694600328 1.96513606664162 2.54403136872238 1.67907203756875 1.10249988335553 1.67970520387969 0.940049671080749 1.97882882739398 3.2075658386991 1.4688791246059 1.62048991669844 0.155703914499088 1.94743880332349 0.504601756490398 0.471024578547664 2.7908662743483 1.8287309192611 2.61363847269565 1.94034094681524 1.31878077649818 2.54409440690289 4.05912149292745 1.64033583151181 1.12200729436529 3.97749773423185 0.141304032730054 2.81188816783863 1.23721500426577 2.18594714798439 2.23047923323245 1.701954057826 0.334115010871731 1.74759267123209 0.308015070915616 0.663332605391805 1.81182999374578 1.98172582810638 2.67018652551012 1.91768607852443 2.76108673160629 3.01181170212182 2.32743046545295 0.799797363982003 3.51397184909815 3.24567125856232 3.3058410246994 2.71129699125282 3.18052152975814 2.48272726925594 5.27183029036609 4.11863972775207 3.43919965710647 5.08148786869106 2.74481156488074 3.75003896928966 3.98923552122673 3.12128482250164 3.83003975205088 1.4136407152754 4.65722083579067 3.61037856164117 1.21803546436777 2.65889195805733 3.76439591798106 2.45594496630259 2.13053910711892 3.24984535706144 2.57908428080565 4.22198246412926 4.72668290607801 2.94991522625202 4.49609271861456 4.2066045590343 2.54471306311955 3.31701977477179 4.42812965318165 3.56874969072726 3.20751148384915 3.54891936136565 5.02000622561576 2.77032379620365 1.61843518893378 4.40517257744769 3.1483777869828 2.58744649199876 2.54658044140085 4.10991407047884 2.31102574450457 1.53328293502 2.12279864771454 4.73634696911459
"feature8" 1.82646395380147 1.4980453614676 3.81366797938907 1.71511911580372 3.89477584545322 2.52480778706586 2.37091342757122 2.5614267986481 1.07921262357651 0.361682301566854 1.43056416454304 0.0446751125299012 1.02959828248224 0.936641676497825 1.98010089469077 0.403461387256969 1.86388803873172 1.49391742606697 -0.353227038349401 2.57593070172012 2.06094446912773 0.996252020676069 1.88011337752306 2.77931406016372 0.922869878922747 2.6258761593753 1.24613547493897 0.140386478759728 3.83671725099687 3.06543353186688 2.53397543659862 1.53306649283685 2.64883400060511 1.54165979639191 0.335432861737768 2.87977449293172 2.60844456340412 2.78747045484966 1.72619206926942 2.27650455367496 3.35803832811747 1.65177004470086 2.72865176299878 2.32564030701734 3.08751099520728 3.54069170113813 2.2042877566888 2.03750444130474 3.18481240669137 0.965305249603867 3.83624274760141 3.36387824721453 2.58501585876034 2.6503392374373 4.46526601947266 2.99705983392399 2.83081255133467 3.50473356204333 2.94487668723432 4.31554159785558 2.10731283232137 1.69270769700781 2.16200964799145 2.85432390103025 1.12025717598682 2.51162527749891 -1.08459787446496 4.29396352864274 4.39971489918219 2.72863338734694 2.03957860640226 1.393498653984 1.43638507053911 3.97886151868129 2.92674888291726 1.42138625514507 3.87999244844419 2.06395797930292 1.65319682912406 2.93953127890332 2.86439648206643 1.78967449264929 4.11106782933079 2.98970360532969 1.77002690393846 2.33958060373061 2.74791436112325 1.7561959776913 3.07175515679993 2.11293050177611 5.04512305940536 4.73005192518985 5.87179742324149 2.82543526042516 0.49621607338169 2.66402268131508 3.04489791076621 1.47919289778295 3.93418138886219 1.61535040143386
"feature9" 1.64763473386325 2.62518500937444 1.06551126507118 2.08580904390501 1.03170763962651 0.742684163861302 -0.250094971355313 3.15613138728318 0.895572642344747 1.35756038180971 1.34143179564147 1.57128856390279 2.87339966361236 1.88914965456664 3.16513113179115 2.64946940239316 0.304598260725899 2.84475299055073 2.00342714050275 1.6314144653267 1.75788330715586 1.36680769042891 1.1790726191738 2.86249027505412 1.89116121182691 2.60722259360122 3.46308298760866 0.16881798908734 0.906226532918908 1.42699517109728 2.02435257494091 3.01151338300797 0.783661859802364 3.25855982393427 4.30765105175187 1.74646411977037 2.39085960470547 1.80061713628297 2.93705913608292 2.17052154176217 3.15013077896038 -0.525700215162678 2.01490239267679 2.10819103251203 1.96972609193725 1.09988682163775 3.19355646663681 2.41683179886997 0.430207245744658 2.20620461889633 4.71743727039106 3.35921698854521 1.4710236853768 4.55927855633861 2.68827028456607 1.34137069232099 3.3917352489386 3.98496886274669 2.6867804994548 4.92699469022329 3.68247507432361 3.80585695810896 4.37365719239759 2.66512779459444 4.40167420339581 3.38003228178621 3.59022902078092 4.40800307760252 2.01849662580277 2.41525362712547 1.89208834648623 1.87058934781188 2.62991349591703 1.75001900212504 1.59097882727096 2.09473533687795 2.03577565488989 3.8045291208463 1.84423760319757 2.08255684192765 2.73083138588347 2.65584368041208 2.59752037782445 2.63997124274057 4.89545246623049 2.29369554100229 2.74037751692732 1.9987200734209 4.60713935454024 2.63301706221166 1.50902397224774 5.2113690278636 4.56823119437586 2.81658531109819 3.09495525305477 2.82652296624243 2.61086898244028 3.0199438123408 2.24219767988427 1.90350895980592
"feature10" 2.31261588570834 0.431545571118326 1.97346092230479 1.10518763799559 1.61152066583233 1.94867447482822 2.42550204421607 1.1347229790121 0.947238431151006 2.23299977816377 1.68912875783927 0.189465764986169 0.916873974390259 3.09591464919642 1.46821869553558 0.761237667506285 2.28277981971042 0.647746742455932 1.99694909160165 2.22438959899438 1.63031230748908 1.47181053524002 2.83994607502048 3.09982189236521 0.896161138957106 0.974383038976569 3.11111452144231 1.84382349086731 1.46898607360751 0.404894638226019 2.1139167967365 3.52528250987052 3.44874766146338 1.74608584940966 3.19546968985294 2.52368745423301 2.87396852104067 1.56314163871065 1.28949070070614 1.31600662618829 2.80735829100951 2.57409711551836 0.640236678849836 1.08478205442706 2.78412057605601 3.45522404704454 -0.60520826552237 1.16815291203384 2.52340079974064 2.84127821277991 1.62217823538554 2.43694609144449 4.29507657790091 3.93645670424151 2.26871006154313 1.89947459584903 2.48219067706535 3.64151521046979 2.78686705485877 3.53917837735064 3.11943382638529 2.24701478850189 2.03728158277402 3.42207355719983 1.1849002547176 2.34374799690611 3.20547075042006 3.50350598929037 2.85536478519236 4.08327575751656 3.34327999509048 2.48816229419713 1.91586650689502 3.50782195387132 3.68903956517689 2.48505517932909 1.95650498355596 3.61669945455868 2.39840918788642 3.24617190926363 2.68332734810919 3.3331787121885 4.93330944383553 2.84852909661738 2.99110504293696 4.18883720944894 3.60210014722331 1.94266285649407 2.41069147985264 4.54248643017221 2.70193815386553 3.9787411029087 2.27116721181586 2.82124383934735 3.60759443554491 2.85697136154384 4.17920874318669 3.00831786568094 3.11456441382368 4.34836575010255
