type	value
v1	3.0599374635884797
v1	1.90718562695588
v1	4.278628608108063
v1	3.8347941910770253
v1	5.4938299128177
v1	1.3800318004079954
v1	3.3889075042115504
v1	2.8912996957308565
v1	2.441573062026012
v1	2.732695048727809
v1	2.1245691707719954
v1	2.8813739968880077
v1	2.7739266936597184
v1	2.3443758188922508
v1	3.5865898327221872
v1	2.889190221204105
v1	3.7570987302629537
v1	3.90890307382399
v1	4.0439021472698835
v1	3.043220056985545
v1	3.3426451405251285
v1	4.5425318020740715
v1	2.843852094650354
v1	4.125423222620276
v1	3.5738882240281447
v1	4.278020008741136
v1	2.587939476309967
v1	4.242807673005964
v1	3.484387005507232
v1	2.072881373183634
v1	3.797839211325768
v1	1.5207133524760832
v1	3.2698660064766494
v1	2.540680573177431
v1	2.2794689340522765
v1	4.089533770264091
v1	2.5844421321902606
v1	3.6022601481671472
v1	2.7590796883659823
v1	5.438181778620847
v1	3.4604340446035544
v1	2.677632000060265
v1	1.9456778772734389
v1	3.1012958824405956
v1	1.507210861818067
v1	2.84176037414232
v1	3.4935148043484636
v1	2.133218952171783
v1	4.121287396705487
v1	2.8637745759796807
v1	1.9799887394311075
v1	2.9123661703181565
v1	2.729254762573987
v1	1.0668005215664258
v1	3.25220312810898
v1	3.0964684664975066
v1	2.7599353338162755
v1	2.5848415189497427
v1	2.492931654224427
v1	2.3152572247547507
v1	2.2571285727784973
v1	2.278882062264871
v1	2.4714557132757466
v1	3.7187663664664754
v1	3.5253367433002234
v1	4.4988140946734045
v1	2.539722948348305
v1	5.9246151881502165
v1	3.152186104859009
v1	3.2061619559956087
v1	1.3180950963450213
v1	1.159045228474263
v1	2.7210512235731246
v1	2.8499759500849438
v1	4.702571378694365
v1	3.5429684369511802
v1	4.139505606939498
v1	3.250674349746758
v1	4.330568998071493
v1	2.845249399559083
v1	2.182856190126799
v1	3.2826007920732856
v1	3.3069367707570323
v1	3.6124659448855216
v1	3.012234077404963
v1	2.773020334198091
v1	1.8034396668859538
v1	3.7972336752701787
v1	3.540964789548439
v1	1.9499848731160223
v1	5.827991582845524
v1	3.2246801595159633
v1	2.0435613016313594
v1	3.319088522933886
v1	3.265878657046307
v1	3.6150850054317045
v1	2.0332661899600675
v1	3.3461256549794895
v1	2.564580324050833
v1	3.811311330034443
v2	7.957605176754549
v2	5.6858509211917685
v2	5.579274241522622
v2	6.17520037584792
v2	7.581273964404737
v2	4.828472105195909
v2	5.00527179189509
v2	6.356422192450195
v2	6.811806879338135
v2	7.098939227673068
v2	7.568956468045093
v2	5.782171661257398
v2	5.411705170271087
v2	6.804861384610975
v2	7.253815890425948
v2	6.333212429844322
v2	5.792933427160865
v2	6.077269309319727
v2	6.1672815824337315
v2	5.960514828993212
v2	6.195076860516023
v2	4.176513192036439
v2	4.9690196612273345
v2	7.189119661895141
v2	6.33051921026711
v2	6.09056246222717
v2	4.775181040023288
v2	4.688105536942756
v2	8.023917923811549
v2	6.23289432859934
v2	6.834467241079655
v2	7.352479516315409
v2	6.642893588399128
v2	6.094511280687009
v2	7.381337652691485
v2	6.113999400314313
v2	4.806089727503686
v2	5.15133106297303
v2	4.924176629131753
v2	4.94049688150521
v2	7.392940126183857
v2	4.6240501011374535
v2	6.061155509610684
v2	5.643510505898738
v2	5.585975158654607
v2	5.5712894143780956
v2	5.717926804730664
v2	5.8362840978746275
v2	7.911119521547156
v2	5.966003547755047
v2	5.452954275106486
v2	4.717675242157917
v2	6.163411036659445
v2	5.756522070106722
v2	5.792836678555467
v2	4.574330995515294
v2	7.099391178126943
v2	6.123363323749072
v2	6.520359792640561
v2	6.545427328698666
v2	7.424354176358467
v2	5.50083237612823
v2	5.288756137716529
v2	5.841091367794906
v2	6.57377369728068
v2	5.749003617157694
v2	6.139207139185869
v2	5.95591332554657
v2	6.601378567198368
v2	6.622334652237433
v2	5.910041582443392
v2	6.523579146337522
v2	6.764259829074959
v2	6.1685276613997395
v2	8.329176559224926
v2	5.16708373307991
v2	6.351685429956315
v2	5.667141952843038
v2	4.79976937470083
v2	6.426695573939043
v2	6.543783857197372
v2	7.35133455500166
v2	7.322254480459708
v2	7.246843815227418
v2	6.415534982856959
v2	5.536640986314911
v2	4.976605607044166
v2	7.505241143297585
v2	6.808007481101715
v2	4.340098062855887
v2	6.306946162864943
v2	6.0417313443483565
v2	7.944426977402617
v2	6.167445183767919
v2	6.220711195189098
v2	7.133075393371437
v2	7.753635602553535
v2	6.299901989466958
v2	6.778104663595418
v2	5.594433814893218
