region	sales
GuangDong	42.546119715423494
GuangDong	46.26102484248198
GuangDong	46.004484936675695
GuangDong	45.05683750911795
GuangDong	48.676109029984325
GuangDong	56.95071288830022
GuangDong	50.702566154815976
GuangDong	52.939622502358674
GuangDong	50.728153451183495
GuangDong	49.33974131194625
GuangDong	56.94334328866159
GuangDong	53.28735160840408
GuangDong	51.40388668970873
GuangDong	50.935581469121225
GuangDong	55.66641863840622
GuangDong	49.86186049215477
GuangDong	50.43153709483861
GuangDong	52.58215645396153
GuangDong	47.690124478896166
GuangDong	44.503462049348606
GuangDong	50.63554858700353
GuangDong	45.80777631812176
GuangDong	45.296178239859536
GuangDong	49.510207754775124
GuangDong	51.45463156086331
GuangDong	52.07255040780065
GuangDong	50.65676840766728
GuangDong	44.919480662363256
GuangDong	51.05694210178309
GuangDong	47.7968703481209
GuangDong	55.130827314162715
GuangDong	44.76408627162183
GuangDong	52.46620156069055
GuangDong	50.945712871863755
GuangDong	48.399991563149364
GuangDong	52.389042154630815
GuangDong	51.80929838915463
GuangDong	46.831935276631974
GuangDong	45.139731524094366
GuangDong	46.45220169102521
GuangDong	50.18185038425607
GuangDong	51.30436762831957
GuangDong	46.39822001230594
GuangDong	52.782335359454216
GuangDong	56.89525419480092
GuangDong	48.30094839705119
GuangDong	47.55458857503856
GuangDong	49.00097369601312
GuangDong	50.22616282402695
GuangDong	52.36460656370071
GuangDong	52.48476490327734
GuangDong	50.143904455023865
GuangDong	51.19137748834388
GuangDong	51.76960154247113
GuangDong	54.10090790747636
GuangDong	58.93424188600812
GuangDong	59.07981775985489
GuangDong	48.831761335068244
GuangDong	51.866543953230966
GuangDong	42.8572616566416
GuangDong	45.396073276366295
GuangDong	54.757572502522166
GuangDong	58.209235000781874
GuangDong	47.142785935496754
GuangDong	43.35495870094611
GuangDong	44.47453046173942
GuangDong	50.00718504427619
GuangDong	52.7799783422247
GuangDong	52.85754023978493
GuangDong	47.15857870242301
GuangDong	53.32839355879435
GuangDong	44.592057762875015
GuangDong	48.610148179683705
GuangDong	58.50730106170458
GuangDong	53.79562501499117
GuangDong	55.76434852577341
GuangDong	53.27102515567234
GuangDong	46.32243433893497
GuangDong	54.40757267839359
GuangDong	42.76437761962962
GuangDong	48.83939028288454
GuangDong	50.443874976269115
GuangDong	48.179585185891874
GuangDong	53.52915852829459
GuangDong	51.55388658421261
GuangDong	51.2178812875222
GuangDong	51.78450441147308
GuangDong	48.28345467249822
GuangDong	59.7142353578115
GuangDong	49.448780106387204
GuangDong	42.7423362118108
GuangDong	45.58816143585234
GuangDong	46.35008906654434
GuangDong	49.553885100479604
GuangDong	49.965888326670495
GuangDong	50.536866779756686
GuangDong	48.959961025174735
GuangDong	45.10016053278955
GuangDong	53.401407394092544
GuangDong	45.51640117340751
GuangDong	53.29016445735428
GuangDong	48.387251533050545
GuangDong	46.95513020194575
GuangDong	51.26023493755681
GuangDong	52.37847840509765
GuangDong	45.909214878595094
GuangDong	55.20755396580456
GuangDong	48.16952636641478
GuangDong	44.48971151199738
GuangDong	49.54481666125988
GuangDong	55.98386812735248
GuangDong	45.08465679262377
GuangDong	42.97283365365551
GuangDong	52.12215253819686
GuangDong	54.43585566076109
GuangDong	49.76436515957223
GuangDong	55.40740539993696
GuangDong	47.76962473147039
GuangDong	51.07256987015646
GuangDong	48.595727061187006
GuangDong	51.262977074982
GuangDong	49.01054102065808
GuangDong	56.03447159807289
GuangDong	52.689270889651354
GuangDong	45.68553642912214
GuangDong	48.08401303017213
GuangDong	51.5512125742803
GuangDong	51.334403416427236
GuangDong	53.091447434501646
GuangDong	51.815829878656416
GuangDong	49.37672432236821
GuangDong	45.252729880050325
GuangDong	41.69211295437214
GuangDong	47.24359203676279
GuangDong	47.53891994199877
GuangDong	44.376877425574236
