Name	Value	group
BMP2	18.7	Group1
XIST	14.3	Group1
C19orf38	16.4	Group1
PDZD3	17.3	Group1
MAPRE2	15.2	Group1
IRF4	10.4	Group1
NUP210	10.4	Group1
ARID3B	14.7	Group1
KCNS3	15.5	Group1
ACHE	15.2	Group1
SH3TC2	13.3	Group1
IER3IP1	19.2	Group1
DOCK3	15.8	Group2
FIBP	15	Group2
BMF	21	Group2
ATP10D	21	Group2
GCNT1	21.4	Group2
KCTD15	18.1	Group2
FREM1	19.2	Group2
DIS3L2	17.8	Group2
BLZF1	19.7	Group2
ZNF704	22.8	Group3
NBEAL2	24.4	Group3
SEMA4B	22.8	Group3
ETS1	32.4	Group3
TMEM120B	30.4	Group3
CGN	33.9	Group3
NCAN	21.5	Group3
ABHD6	27.3	Group3
JADE2	26	Group3
UBN1	30.4	Group3
NKX2-5	21.4	Group3
